name,city,rating,rating_count,cost,cuisine
Friends Restaurant,Adoni,3.6,100,299.0,"North Indian,Chinese"
Chai Adda,Adoni,3.3,50,150.0,Beverages
Deepthi Veg and nonveg Restaurant,Adoni,3.6,100,250.0,"South Indian,North Indian"
Milatary Hotel,Adoni,3.5,100,150.0,Biryani
ROTI WALA,Adoni,2.7,20,199.0,"Biryani,Healthy Food"
Gokul Chats,Adoni,3.4,50,199.0,"Chinese,Chaat"
Spicy Hut Parcel Point,Adoni,3.9,20,200.0,North Indian
SREE TULAJA BHAVANI RESTAURANT,Adoni,3.5,100,250.0,Indian
Ma Palle Ruchulu,Adoni,3.0,20,200.0,South Indian
Kumbakarna Biryani House,Adoni,3.3,50,250.0,"Biryani,South Indian"
Only Kabab's,Adoni,3.6,20,250.0,"Kebabs,Chinese"
Biryani's' N' More,Adoni,3.3,100,250.0,Biryani
Masala Bowl Multicusine Restaurant,Adoni,2.8,50,250.0,Biryani
Nakshtra pure veg Restaurant,Adoni,2.8,20,250.0,"Indian,Chinese"
Hotel Madhavi,Adoni,3.4,20,150.0,South Indian
Lassi Spot,Adoni,3.9,20,250.0,Ice Cream
Daya Hari Chatpata,Agartala,4.3,1,300.0,"North Indian,Chinese"
KFC,Agartala,4.0,1,450.0,"American,Snacks"
Sherowali Bhoj- Non Veg Hotel & Restaurant,Agartala,3.9,1,300.0,"Indian,Chinese"
Sherowali Restaurant and Fast Foods,Agartala,4.1,1,200.0,"North Indian,Bakery"
Daya Hari Mithai,Agartala,4.2,500,175.0,"Indian,Chinese"
Devi Fast Food,Agartala,4.1,500,175.0,"North Indian,Chinese"
Lets Dimsum,Agartala,4.0,500,250.0,"Indian,Chinese"
Swasti Niramish Hotel,Agartala,4.0,1,300.0,Indian
Gopal Mistanna Bhandar,Agartala,4.0,500,100.0,Desserts
Momos N More,Agartala,3.9,100,250.0,"Chinese,Asian"
Trinayani,Agartala,3.9,500,200.0,Indian
UK Pizza Hut,Agartala,3.9,100,300.0,"American,Pizzas"
Delicious Fast Food And Tiffin Hub,Agartala,3.9,500,175.0,North Indian
Shyamasree Restaurant,Agartala,4.0,500,175.0,North Indian
NATIONAL FAST FOOD,Agartala,3.7,100,150.0,"Chinese,North Indian"
Heritage,Agartala,3.9,100,300.0,North Indian
0 Dergee Celcius,Agartala,3.7,100,250.0,"Desserts,Pizzas"
Radhe Bol,Agartala,3.9,100,300.0,"South Indian,North Indian"
Cholo Khai,Agartala,3.7,100,150.0,"Fast Food,Chinese"
MANTU BIRYANI,Agartala,3.7,100,100.0,"Biryani,Indian"
New Ashoka Restaurant,Agartala,3.6,100,250.0,North Indian
Abhishek Hotel and Restaurant,Agartala,4.0,100,450.0,"North Indian,Chinese"
Frespresso,Agartala,3.5,100,250.0,North Indian
Mrs. Banyan Resturant,Agartala,3.6,100,125.0,Indian
Eatopia Zannat,Agartala,3.7,500,450.0,"Indian,Chinese"
Cake plaza,Agartala,4.2,100,8.0,Bakery
Sherowali Sweets,Agartala,4.4,100,150.0,"Sweets,Desserts"
Aroma,Agartala,3.6,100,200.0,"Chinese,Indian"
HOTEL NIRAMISH BHOJANALAY,Agartala,3.2,100,300.0,"Indian,Snacks"
MATKAWALA,Agartala,3.1,100,200.0,"Indian,Chinese"
INSTAMOMO,Agartala,3.4,20,150.0,Chinese
Hungrilla,Agartala,3.7,500,250.0,"North Indian,Chinese"
Chatpata Cake Corner,Agartala,4.1,50,150.0,Bakery
Tiffins (From Hungrilla),Agartala,3.5,100,200.0,Fast Food
OFUI HOTEL & RESTAURANT,Agartala,3.5,50,150.0,Indian
Delicious Fast Food,Agartala,3.3,100,150.0,Indian
Momo Magic Cafe,Agartala,3.8,100,200.0,"Chinese,North Indian"
POUSHALI FAST FOOD CENTRE,Agartala,3.5,100,200.0,"Biryani,North Indian"
Swapna Fast Food Center,Agartala,3.6,100,125.0,Indian
Rupar Tori Hotel & Restaurant,Agartala,4.0,100,375.0,Indian
Smoke N Spice,Agartala,3.4,500,200.0,"Chinese,Indian"
TAJ_An Exclusive Veg Restaurent,Agartala,4.2,100,275.0,North Indian
Sherowali Snacks and Bakery,Agartala,4.5,50,150.0,"Bakery,Snacks"
Wow Shawarma,Agartala,4.3,500,200.0,Fast Food
Hapieee Box,Agartala,3.4,100,300.0,"Fast Food,Snacks"
TARA BIRIYANI,Agartala,3.5,50,200.0,"Biryani,Indian"
The Roll Hut,Agartala,4.1,100,175.0,"Chinese,North Indian"
Hotel Rimi International,Agartala,3.8,20,1000.0,"Indian,Continental"
Bawarchi Kolkata,Agartala,4.1,100,150.0,"Indian,Chinese"
Pizza'ria,Agartala,3.2,20,275.0,Continental
Litttle Chef Agartala,Agartala,3.8,100,200.0,"North Indian,Chinese"
Mums Kitchen,Agartala,3.7,50,200.0,North Indian
Bollywood Retro-A music and food hub,Agartala,4.0,20,300.0,"Snacks,Tandoor"
The Fat Chicken,Agartala,3.5,100,300.0,North Indian
Fresh Bite,Agartala,3.9,100,100.0,"Indian,Chinese"
ME N MOMO,Agartala,4.4,50,150.0,"Indian,Asian"
Ambar restaurant,Agartala,3.7,20,200.0,"Thalis,Indian"
TAIPO,Agartala,4.2,50,150.0,"Chinese,Indian"
Cafe Coffee Day,Agartala,3.9,100,300.0,"Beverages,Snacks"
Kurry Klub,Agartala,3.7,50,425.0,"Indian,Chinese"
The Hungry Port,Agartala,4.0,500,250.0,North Indian
DEJA VU,Agartala,3.9,20,300.0,"Chinese,Indian"
Barbie Food Stall,Agartala,3.1,100,150.0,North Indian
INDIAN CAKES & NUTS,Agartala,3.9,50,350.0,"Indian,Bakery"
Ritwika's Food Fresto,Agartala,3.5,100,200.0,North Indian
Punjab grill,Agartala,2.9,50,200.0,"Indian,North Indian"
Babuana,Agartala,4.0,100,100.0,"Indian,Chinese"
Hungrilla (Homely),Agartala,3.6,100,200.0,"Bengali,Thalis"
Mukhorochak,Agartala,3.4,20,250.0,"Bengali,Indian"
MADHUR KHABAR,Agartala,2.9,50,100.0,Chinese
Devi- Family Fast Food Center,Agartala,4.1,20,150.0,"Indian,Chinese"
Balaji Sweets and Veg Restaurant,Agartala,3.6,20,300.0,North Indian
RANNAGHAR,Agartala,3.3,20,200.0,"Indian,Chinese"
Ritwika s Kitchen,Agartala,3.4,50,150.0,"Indian,Chinese"
Grill Nation,Agartala,3.5,50,500.0,"Chinese,Combo"
Sparks- The food hub,Agartala,4.0,1,275.0,Indian
7 s Chai,Agartala,3.9,20,150.0,"Beverages,Snacks"
Adi Sankar Hotel,Agartala,3.3,50,400.0,North Indian
Devi- Golgappa Chat,Agartala,3.4,20,120.0,"Chaat,Italian"
Zaika Restaurant,Agartala,3.7,100,250.0,North Indian
